Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
10-Oct-2015 00:00,11-Oct-2015 00:00,1.35519650859138,3.0,3064.0
11-Oct-2015 00:00,12-Oct-2015 00:00,6.38765871971858,17.0,14966.0
12-Oct-2015 00:00,13-Oct-2015 00:00,4.45231637737405,27.0,9849.21103382991
13-Oct-2015 00:00,14-Oct-2015 00:00,6.99900942320042,19.0,15152.7889661701
14-Oct-2015 00:00,15-Oct-2015 00:00,8.60222377587814,28.0,20012.0
15-Oct-2015 00:00,16-Oct-2015 00:00,4.78552517701213,17.0,11151.6337472166
16-Oct-2015 00:00,17-Oct-2015 00:00,7.73994739167754,18.0,18643.1153313235
17-Oct-2015 00:00,18-Oct-2015 00:00,9.27319595896627,14.0,22136.1525167718
18-Oct-2015 00:00,19-Oct-2015 00:00,10.1559039311631,16.0,24839.0984046881
19-Oct-2015 00:00,20-Oct-2015 00:00,2.97672516959291,1.0,6975.0
20-Oct-2015 00:00,21-Oct-2015 00:00,4.87294886099533,3.0,11649.0
21-Oct-2015 00:00,22-Oct-2015 00:00,3.58327368169881,7.0,9083.0
22-Oct-2015 00:00,23-Oct-2015 00:00,2.0616723335719,0.0,4199.0
23-Oct-2015 00:00,24-Oct-2015 00:00,2.92555790574661,5.0,6134.0
24-Oct-2015 00:00,25-Oct-2015 00:00,5.28048056851119,2.0,11582.0
25-Oct-2015 00:00,26-Oct-2015 00:00,2.8907317916111,6.0,6721.0
26-Oct-2015 00:00,27-Oct-2015 00:00,0.64817209026667,2.0,1322.0
27-Oct-2015 00:00,28-Oct-2015 00:00,1.33661914419809,2.0,2902.0
28-Oct-2015 00:00,29-Oct-2015 00:00,0.998580788197037,5.0,1861.0
29-Oct-2015 00:00,30-Oct-2015 00:00,1.08167054402289,6.0,2448.0
30-Oct-2015 00:00,31-Oct-2015 00:00,0.176941660701581,0.0,325.0
31-Oct-2015 00:00,01-Nov-2015 00:00,2.54809692749116,3.0,5526.0
01-Nov-2015 00:00,02-Nov-2015 00:00,0.612653354409974,0.0,1503.0
02-Nov-2015 00:00,03-Nov-2015 00:00,0.593869303268922,0.0,1383.0
03-Nov-2015 00:00,04-Nov-2015 00:00,0.502471814602536,0.0,995.0
04-Nov-2015 00:00,05-Nov-2015 00:00,0.705007754712537,0.0,1543.0
05-Nov-2015 00:00,06-Nov-2015 00:00,0.715484073013632,0.0,1524.0
06-Nov-2015 00:00,07-Nov-2015 00:00,1.70283796334695,0.0,4530.0
07-Nov-2015 00:00,08-Nov-2015 00:00,1.09591858546094,3.0,2304.0
08-Nov-2015 00:00,09-Nov-2015 00:00,0.376644148174729,0.0,736.0
09-Nov-2015 00:00,10-Nov-2015 00:00,0.612087906625216,3.0,1186.0
10-Nov-2015 00:00,11-Nov-2015 00:00,0.541214308438808,2.0,1061.0
11-Nov-2015 00:00,12-Nov-2015 00:00,1.15122545290527,8.0,2311.0
12-Nov-2015 00:00,13-Nov-2015 00:00,2.64097048238238,1.0,6391.0
13-Nov-2015 00:00,14-Nov-2015 00:00,1.38489347212271,4.0,2900.0
14-Nov-2015 00:00,15-Nov-2015 00:00,3.95102600811237,3.0,10258.0
15-Nov-2015 00:00,16-Nov-2015 00:00,6.26790791776082,19.0,15674.0
16-Nov-2015 00:00,17-Nov-2015 00:00,10.0439433707156,29.0,24915.0
17-Nov-2015 00:00,18-Nov-2015 00:00,9.22372718324978,23.0,21575.0
18-Nov-2015 00:00,19-Nov-2015 00:00,7.27907601362238,33.0,17036.0588940327
19-Nov-2015 00:00,20-Nov-2015 00:00,5.34391798164429,12.0,13320.9411059673
20-Nov-2015 00:00,21-Nov-2015 00:00,8.02026543373003,17.0,19812.6777735723
21-Nov-2015 00:00,22-Nov-2015 00:00,7.3207868804919,10.0,18710.0569332587
22-Nov-2015 00:00,23-Nov-2015 00:00,6.98561392128963,16.0,16499.265293169
23-Nov-2015 00:00,24-Nov-2015 00:00,6.27957105503958,14.0,15037.0
24-Nov-2015 00:00,25-Nov-2015 00:00,7.53262517863278,20.0,18734.655086574
25-Nov-2015 00:00,26-Nov-2015 00:00,5.18292706082534,15.0,12898.344913426
26-Nov-2015 00:00,27-Nov-2015 00:00,6.49177805501925,22.0,15333.0
27-Nov-2015 00:00,28-Nov-2015 00:00,8.0981603707971,19.0,20156.0
28-Nov-2015 00:00,29-Nov-2015 00:00,7.95747596025896,22.0,18849.6164594184
29-Nov-2015 00:00,30-Nov-2015 00:00,5.61516255560991,26.0,14015.3835405816
30-Nov-2015 00:00,01-Dec-2015 00:00,8.23754941371944,22.0,18907.4885957085
01-Dec-2015 00:00,02-Dec-2015 00:00,8.47008298768273,22.0,20023.5114042915
02-Dec-2015 00:00,03-Dec-2015 00:00,6.34387277468645,15.0,14029.4245741626
03-Dec-2015 00:00,04-Dec-2015 00:00,9.05690734095774,24.0,20772.5754258374
04-Dec-2015 00:00,05-Dec-2015 00:00,7.19510987706868,24.0,16713.1026185114
05-Dec-2015 00:00,06-Dec-2015 00:00,8.70964957328889,30.0,21745.8973814886
06-Dec-2015 00:00,07-Dec-2015 00:00,6.04598041627393,32.0,13600.0
07-Dec-2015 00:00,08-Dec-2015 00:00,8.2584037630325,17.0,19441.5799260043
08-Dec-2015 00:00,09-Dec-2015 00:00,7.83258237213297,14.0,17847.153872529
09-Dec-2015 00:00,10-Dec-2015 00:00,8.19338247736237,19.0,17812.9815696382
10-Dec-2015 00:00,11-Dec-2015 00:00,5.90448136314817,16.0,12916.2846318284
11-Dec-2015 00:00,12-Dec-2015 00:00,5.80159990654651,9.0,13404.0
12-Dec-2015 00:00,13-Dec-2015 00:00,10.058782566768,26.0,23215.3194629121
13-Dec-2015 00:00,14-Dec-2015 00:00,9.49208614143306,12.0,21030.1615415702
14-Dec-2015 00:00,15-Dec-2015 00:00,6.99054448724779,10.0,15519.5189955177
15-Dec-2015 00:00,16-Dec-2015 00:00,4.78371630184458,6.0,10839.5940201126
16-Dec-2015 00:00,17-Dec-2015 00:00,5.87491230707006,6.0,13484.4059798874
17-Dec-2015 00:00,18-Dec-2015 00:00,8.67547218230752,14.0,18958.5791569424
18-Dec-2015 00:00,19-Dec-2015 00:00,12.7509202290106,24.0,30292.4770807239
19-Dec-2015 00:00,20-Dec-2015 00:00,7.10866551059661,11.0,16595.0787472253
20-Dec-2015 00:00,21-Dec-2015 00:00,8.34348898830399,9.0,18695.8650151084
21-Dec-2015 00:00,22-Dec-2015 00:00,6.20383998769848,29.0,14638.0
22-Dec-2015 00:00,23-Dec-2015 00:00,12.0733834512508,28.0,27777.0
23-Dec-2015 00:00,24-Dec-2015 00:00,13.703031588132,32.0,30537.6465922104
24-Dec-2015 00:00,25-Dec-2015 00:00,9.4761512919289,19.0,21931.6866142374
25-Dec-2015 00:00,26-Dec-2015 00:00,6.53983368112682,22.0,15814.6667935522
26-Dec-2015 00:00,27-Dec-2015 00:00,8.64202966091546,10.0,21693.0
27-Dec-2015 00:00,28-Dec-2015 00:00,12.5892254554569,54.0,27452.0
28-Dec-2015 00:00,29-Dec-2015 00:00,5.92047710145892,9.0,13889.0
29-Dec-2015 00:00,30-Dec-2015 00:00,4.94961143127727,10.0,11661.0
30-Dec-2015 00:00,31-Dec-2015 00:00,4.74067481553346,10.0,10838.0
31-Dec-2015 00:00,01-Jan-2016 00:00,4.52664529648485,2.0,10924.0
01-Jan-2016 00:00,02-Jan-2016 00:00,6.53410880700156,6.0,15833.0
02-Jan-2016 00:00,03-Jan-2016 00:00,6.89007064801468,13.0,15868.0
03-Jan-2016 00:00,04-Jan-2016 00:00,1.20495859130537,0.0,2786.0
04-Jan-2016 00:00,05-Jan-2016 00:00,7.13176753610535,12.0,18489.0
05-Jan-2016 00:00,06-Jan-2016 00:00,4.25311017459056,8.0,10294.0
06-Jan-2016 00:00,07-Jan-2016 00:00,3.80071979319942,3.0,8248.0
07-Jan-2016 00:00,08-Jan-2016 00:00,3.99895538817569,2.0,9184.0
08-Jan-2016 00:00,09-Jan-2016 00:00,6.46481818028914,14.0,13534.0
09-Jan-2016 00:00,10-Jan-2016 00:00,3.98140121271859,15.0,8596.0
10-Jan-2016 00:00,11-Jan-2016 00:00,2.771439147737,15.0,5899.0
11-Jan-2016 00:00,12-Jan-2016 00:00,6.61125193311639,17.0,15127.4548036392
12-Jan-2016 00:00,13-Jan-2016 00:00,6.30447315769139,22.0,13467.5451963608
13-Jan-2016 00:00,14-Jan-2016 00:00,4.39104065556489,11.0,9923.0
14-Jan-2016 00:00,15-Jan-2016 00:00,3.12145693898592,13.0,6909.0
15-Jan-2016 00:00,16-Jan-2016 00:00,5.65750496094729,15.0,12769.0
16-Jan-2016 00:00,17-Jan-2016 00:00,5.9994891020224,4.0,13146.2506575256
17-Jan-2016 00:00,18-Jan-2016 00:00,8.43348598389409,7.0,18928.7493424744
18-Jan-2016 00:00,19-Jan-2016 00:00,6.42874245570342,10.0,14692.0
19-Jan-2016 00:00,20-Jan-2016 00:00,4.55146933329662,21.0,10170.0
20-Jan-2016 00:00,21-Jan-2016 00:00,4.97343331543032,18.0,10926.0
21-Jan-2016 00:00,22-Jan-2016 00:00,2.75494179819231,10.0,6487.0
22-Jan-2016 00:00,23-Jan-2016 00:00,6.35661784237466,17.0,14476.0
23-Jan-2016 00:00,24-Jan-2016 00:00,2.68740909672386,1.0,5509.0
24-Jan-2016 00:00,25-Jan-2016 00:00,8.57562862893485,28.0,18252.0
25-Jan-2016 00:00,26-Jan-2016 00:00,2.55361118140236,6.0,6032.0
26-Jan-2016 00:00,27-Jan-2016 00:00,3.15374207871541,4.0,7083.0
27-Jan-2016 00:00,28-Jan-2016 00:00,4.67540195752371,15.0,10295.0
28-Jan-2016 00:00,29-Jan-2016 00:00,5.30058800587979,22.0,12248.0
29-Jan-2016 00:00,30-Jan-2016 00:00,9.52010935451442,28.0,21237.0
30-Jan-2016 00:00,31-Jan-2016 00:00,2.66711752868015,3.0,6096.5949162365
31-Jan-2016 00:00,01-Feb-2016 00:00,4.76478849228509,7.0,10763.4050837635
01-Feb-2016 00:00,02-Feb-2016 00:00,5.46409682652026,12.0,13162.0
02-Feb-2016 00:00,03-Feb-2016 00:00,6.54104425220857,16.0,15160.0
03-Feb-2016 00:00,04-Feb-2016 00:00,5.37766535106179,19.0,12507.113876039
04-Feb-2016 00:00,05-Feb-2016 00:00,5.93465086889467,18.0,13867.886123961
05-Feb-2016 00:00,06-Feb-2016 00:00,7.24045408489745,27.0,16990.1768419996
06-Feb-2016 00:00,07-Feb-2016 00:00,3.43061252728429,12.0,7213.82315800041
07-Feb-2016 00:00,08-Feb-2016 00:00,2.988607610441,2.0,6988.0
08-Feb-2016 00:00,09-Feb-2016 00:00,3.05632352515985,6.0,7014.0
09-Feb-2016 00:00,10-Feb-2016 00:00,6.26949278914918,7.0,15382.0
10-Feb-2016 00:00,11-Feb-2016 00:00,8.0796798056677,19.0,17796.0
11-Feb-2016 00:00,12-Feb-2016 00:00,7.81986181345339,19.0,18142.0
12-Feb-2016 00:00,13-Feb-2016 00:00,5.97449699364296,25.0,13484.8824455283
13-Feb-2016 00:00,14-Feb-2016 00:00,9.63494737485814,29.0,22018.4066748561
14-Feb-2016 00:00,15-Feb-2016 00:00,7.73010414509867,14.0,18865.7108796156
15-Feb-2016 00:00,16-Feb-2016 00:00,6.20367288110287,20.0,14037.0
16-Feb-2016 00:00,17-Feb-2016 00:00,7.57752056863135,17.0,16895.0
17-Feb-2016 00:00,18-Feb-2016 00:00,3.45038069583095,4.0,7239.0
18-Feb-2016 00:00,19-Feb-2016 00:00,10.0984874811079,16.0,21692.8074924004
19-Feb-2016 00:00,20-Feb-2016 00:00,7.29493674753953,20.0,16515.1925075996
20-Feb-2016 00:00,21-Feb-2016 00:00,8.8203916277039,25.0,19450.0
21-Feb-2016 00:00,22-Feb-2016 00:00,4.76826732306566,18.0,10371.0
22-Feb-2016 00:00,23-Feb-2016 00:00,6.47634849682244,22.0,14286.0
23-Feb-2016 00:00,24-Feb-2016 00:00,4.84464590716705,15.0,10907.0
24-Feb-2016 00:00,25-Feb-2016 00:00,3.83534971976165,8.0,8565.0
25-Feb-2016 00:00,26-Feb-2016 00:00,6.49013275300394,19.0,13945.0
26-Feb-2016 00:00,27-Feb-2016 00:00,3.91768645125898,14.0,9053.0
27-Feb-2016 00:00,28-Feb-2016 00:00,3.26715082852683,8.0,7381.0
28-Feb-2016 00:00,29-Feb-2016 00:00,5.0007342683682,20.0,11643.0
29-Feb-2016 00:00,01-Mar-2016 00:00,2.67616647228538,7.0,6292.0
01-Mar-2016 00:00,02-Mar-2016 00:00,4.52586848118286,25.0,10189.0
02-Mar-2016 00:00,03-Mar-2016 00:00,2.87281465494064,10.0,6333.0
03-Mar-2016 00:00,04-Mar-2016 00:00,4.50358983178109,16.0,9212.0
04-Mar-2016 00:00,05-Mar-2016 00:00,5.90236459680962,16.0,12802.0
05-Mar-2016 00:00,06-Mar-2016 00:00,1.8467131621519,15.0,4239.0
06-Mar-2016 00:00,07-Mar-2016 00:00,7.57952537371718,21.0,17052.0
07-Mar-2016 00:00,08-Mar-2016 00:00,3.9056556004564,11.0,8726.0
